County,Municipality,USC,STS,STH,Mailed,Not Mailed,Mailing Status
Wayne,Scott Twp.,8,20,111,25,0,In Progress
Lycoming,Susquehanna Twp,15,23,83,24,0,In Progress
Lackawanna,Vandling,8,40,112,23,0,In Progress
Butler,Venango Twp,16,21,17,22,0,In Progress
Lycoming,Cascade Twp,15,23,84,22,0,In Progress
Mifflin,Bratton Twp,13,30,171,21,0,In Progress
Lycoming,Jackson Twp,15,23,84,20,0,In Progress
Butler,Callery Boro,16,47,12,20,0,In Progress
Indiana,Banks,15,41,66,19,3,In Progress
Montgomery,Green Lane Boro,4,24,131,19,2,In Progress
Butler,Chicora Boro,16,21,11,19,1,In Progress
Lackawanna,Laplume,8,22,118,19,0,In Progress
Wyoming,Noxen Twp,9,20,110,18,1,In Progress
Mifflin,Juniata Terrace Boro,13,30,171,17,1,In Progress
Lycoming,Bastress Twp,15,23,84,15,0,In Progress
Butler,Allegheny Twp,16,21,17,15,0,In Progress
Lackawanna,West Abington,8,22,118,15,0,In Progress
Lycoming,Pine Twp,15,23,84,15,0,In Progress
Wyoming,Windham,9,20,110,15,0,In Progress
Lycoming,Shrewsbury Twp,9,23,84,15,0,In Progress
Butler,East Butler Boro,16,21,11,14,0,In Progress
Wyoming,Windham Independent,9,20,110,14,0,In Progress
Wayne,Prompton Boro.,8,40,111,13,1,In Progress
Lycoming,Cummings Twp,15,23,84,13,0,In Progress
Wyoming,North Branch Twp,9,20,110,13,0,In Progress
Mifflin,Menno Twp,13,30,171,13,0,In Progress
Butler,Parker Twp,16,21,17,12,2,In Progress
Butler,West Liberty Boro,16,21,8,12,1,In Progress
Butler,Portersville Boro,16,21,8,12,1,In Progress
Indiana,Marion Center,15,41,66,12,0,In Progress
Cumberland,Newburg Boro,13,34,199,11,0,In Progress
Indiana,West Mahoning,15,41,66,11,0,In Progress
Wyoming,Laceyville Boro,9,20,110,11,0,In Progress
Schuylkill,Wayne Twp,9,29,123,10,321,
Lycoming,Nippenose Twp,15,23,84,10,1,In Progress
Lycoming,Mcintyre Twp,15,23,84,10,0,In Progress
Cumberland,Cooke Twp,10,34,193,10,0,In Progress
Lycoming,Mcnett Twp,15,23,84,9,0,In Progress
Butler,West Sunbury Boro,16,21,8,9,0,In Progress
Lycoming,Picture Rocks Boro,9,23,84,9,0,In Progress
Wyoming,Braintrim Twp,9,20,110,9,0,In Progress
Wyoming,Forkston Twp,9,20,110,9,0,In Progress
Mifflin,Kistler Boro,13,30,171,8,0,In Progress
Lycoming,City Of Williamsport,15,23,83,8,0,In Progress
Indiana,Ernest,14,41,66,8,0,In Progress
Butler,Eau Claire Boro,16,21,17,8,0,In Progress
Indiana,Glen Campbell,15,41,66,8,0,In Progress
Wayne,Starrucca Boro.,8,20,111,7,0,In Progress
Montgomery,Abington Twp,4,12,152,7,0,In Progress
Lycoming,Mchenry Twp,15,23,84,7,0,In Progress
Butler,Bruin Boro,16,21,17,6,0,In Progress
Lycoming,Brady Twp,15,23,83,6,0,In Progress
Lycoming,Salladasburg Boro,15,23,84,5,0,In Progress
Mifflin,Newton Hamilton Boro,13,30,171,5,0,In Progress
Indiana,Creekside,14,41,62,5,0,In Progress
Schuylkill,Pottsville,9,29,123,4,648,
Indiana,Cherry Tree,14,41,66,4,0,In Progress
Mifflin,Mcveytown Boro,13,30,171,4,0,In Progress
Lackawanna,Scranton,8,40,112,4,0,In Progress
Montgomery,Upper Dublin Twp,1,12,151,4,0,In Progress
Cumberland,Hampden Twp,10,31,88,4,0,In Progress
Montgomery,Lower Gwynedd Twp,4,12,151,4,0,In Progress
Butler,Fairview Boro,16,21,17,4,0,In Progress
Bucks,Bristol Twp,1,10,141,3,3826,
Blair,Altoona,13,30,79,3,2050,
Venango,Cranberry Twp,15,21,64,3,358,
Schuylkill,Rush Twp,9,29,124,3,242,
Northumberland,Milton Boro,9,27,108,3,163,
Venango,Plum Twp,15,21,64,3,54,
Lycoming,Brown Twp,15,23,84,3,0,In Progress
Montgomery,West Norriton Twp,5,17,54,3,0,In Progress
